SL. For reference,Year,Season,Nest Code,Well Code,Depth and Color (to be used in plot and analysis),COLOR assigned (FOUR Color) FINAL 2013,Lat,Lon,Temp,WD,EC,pH,As,Mn,Fe,Ca,Q1,Q2,Q3,Q4,Q5,Q9,GWQI,GWQC
1,2009,0,N3,P1,Shallow - Black,BLACK,23.32567,90.70171,26.7,53.33739714,930,7.2,452.3784,1.3095,3.9103,153.3078,232.5,40,4523.784,1309.508667,1303.416933,76.653875,1318.57,Not Sustainable
3,2010,0,N3,P1,Deep,OFF-WHITE,23.32567,90.70171,27,231.6366961,830,6.7,422.0694,1.2437,4.4859,146.1369,207.5,-60,4220.694,1243.708,1495.304667,73.068435,1313.99,Not Sustainable
5,2011,0,N3,P1,Shallow - Black,BLACK,23.32567,90.70171,28.1,53.33739714,960,7.04,430.7686,1.0599,3.3528,127.6802,240,8,4307.686,1059.895,1117.584667,63.8401,1087.14,Not Sustainable
7,2009,0,N3,P2,Shallow - White,WHITE,23.32567,90.70171,26.4,74.67235599,1100,7,227.5254,0.7266,9.0259,79.1177,275,0,2275.254,726.574646,3008.634778,39.55886719,1290.9,Not Sustainable
9,2010,0,N3,P2,Intermediate,WHITE,23.32567,90.70171,26.6,102.1341463,1000,6.8,265.983,0.6248,9.8024,103.3628,250,-40,2659.83,624.8374,3267.479333,51.6814,1281.96,Not Sustainable
11,2009,0,N3,P3,Shallow - White,WHITE,23.32567,90.70171,26.6,74.67235599,1320,7.1,51.99,0.9559,5.7858,62.9515,330,20,519.9,955.8879395,1928.590778,31.47574609,1181.89,Not Sustainable
13,2010,0,N3,P3,Intermediate,WHITE,23.32567,90.70171,26.5,102.1341463,1233,6.6,55.9257,0.9375,5.8976,75.9066,308.25,-80,559.2567,937.5248,1965.870667,37.953275,1176.82,Not Sustainable
15,2009,0,N3,P4,Deep,OFF-WHITE,23.32567,90.70171,26.6,231.6366961,1090,6.9,8.4899,3.6762,1.6381,66.3928,272.5,-20,84.899,3676.17627,546.0193333,33.19640234,2842.79,Not Sustainable
17,2010,0,N3,P4,Shallow - Black,BLACK,23.32567,90.70171,26.6,13.71533069,947,6.5,5.6316,3.9029,2.4138,58.0338,236.75,-100,56.31587,3902.932,804.6106667,29.016875,3072.34,Not Sustainable
19,2011,0,N3,P4,Shallow - Black,BLACK,23.32567,90.70171,26.6,70.10057909,1020,7.2,5.6,3.3466,1.5452,49.1436,255,40,56,3346.623,515.054,24.571815,2592.78,Not Sustainable
21,2009,0,N3,P4 (A),Deep,OFF-WHITE,23.32567,90.70171,26.5,231.6366961,860,7,9.2472,2.6189,1.3258,66.7061,215,0,92.4716,2618.926514,441.94,33.35306641,2038.6,Not Sustainable
23,2010,0,N3,P4 (A),Shallow - Black,BLACK,23.32567,90.70171,26.5,13.71533069,996,6.56,8.5745,3.1642,1.013,65.6408,249,-88,85.74545,3164.167838,337.6666667,32.82038714,2413.77,Not Sustainable
25,2010,0,N3,P5,Shallow - Black,BLACK,23.32567,90.70171,26.6,13.71533069,887,6.7,5.6,0.4917,9.721,78.8457,221.75,-60,56,491.6943667,3240.348222,39.42285,1157.82,Not Sustainable
27,2011,0,N3,P5,Shallow - Black,BLACK,23.32567,90.70171,27.1,70.10057909,820,7.01,5.6,0.4425,8.1174,96.7197,205,2,56,442.4774,2705.804667,48.359865,990.91,Not Sustainable
29,2010,0,N3,P6,Shallow - Black,BLACK,23.32567,90.70171,27,53.33739714,582,7,13.1589,0.0778,0.5914,25.2955,145.5,0,131.5894,77.84053,197.133,12.64776,106.75,Poor
31,2011,0,N3,P6,Intermediate,WHITE,23.32567,90.70171,27.1,100.5790917,607,6.85,11.6327,0.1874,0.6809,25.7652,151.75,-30,116.327,187.419,226.9683333,12.8826,194.4,Poor
33,2009,0,N4,P1,Intermediate,WHITE,23.42652,90.7757,26.6,100.5790917,563,6.9,102.067,0.2049,4.9636,67.8039,140.75,-20,1020.67,204.8764343,1654.542643,33.90192578,564.59,Not Sustainable
35,2010,0,N4,P1,Shallow - Black,BLACK,23.42652,90.7757,26.5,9.143553795,364,6.9,73.1504,0.114,5.5539,64.1378,91,-20,731.5041,113.9885,1851.286667,32.06888,543.81,Not Sustainable
37,2009,0,N4,P2,Intermediate,WHITE,23.42652,90.7757,26.9,100.5790917,1330,6.9,281.8534,0.3441,6.3402,87.9265,332.5,-20,2818.534,344.1470642,2113.397461,43.96326172,793.15,Not Sustainable
39,2010,0,N4,P2,Shallow - Black,BLACK,23.42652,90.7757,26.7,9.143553795,1297,7,251.6122,0.1385,4.3548,64.0226,324.25,0,2516.122,138.524,1451.615,32.011295,477.12,Not Sustainable
41,2011,0,N4,P2,Shallow - OffWhite,OFF-WHITE,23.42652,90.7757,27.1,44.19384334,1631,7.12,292.188,0.1531,3.8122,68.9484,407.75,24,2921.88,153.0686,1270.743333,34.474175,446.66,Not Sustainable
43,2009,0,N4,P3,Deep,WHITE,23.42652,90.7757,26.9,234.6845474,1130,6.8,103.2232,2.7308,7.052,88.4191,282.5,-40,1032.232067,2730.776367,2350.666667,44.2095625,2596.27,Not Sustainable
45,2010,0,N4,P3,Shallow - Black,BLACK,23.42652,90.7757,26.8,28.95458702,1271,6.9,117.3797,1.9317,6.6634,39.5069,317.75,-20,1173.797,1931.707789,2221.121,19.75344,1977.02,Not Sustainable
47,2009,0,N4,P4,Deep,WHITE,23.42652,90.7757,27.3,234.6845474,2640,6.7,11.0954,2.1161,4.8537,94.0311,660,-60,110.9538,2116.071289,1617.888333,47.01555469,1956.56,Not Sustainable
49,2010,0,N4,P4,Shallow - Black,BLACK,23.42652,90.7757,27,28.95458702,2330,6.7,9.259,3.8372,6.8685,106.1681,582.5,-60,92.58991,3837.198,2289.493333,53.08405,3389.28,Not Sustainable
51,2011,0,N4,P4,Shallow - OffWhite,OFF-WHITE,23.42652,90.7757,27.5,44.19384334,1757,6.83,11.8769,2.9235,4.5128,63.15,439.25,-34,118.7687,2923.529,1504.262,31.575,2523.77,Not Sustainable
52,2009,0,N4,P5,Deep,WHITE,23.42652,90.7757,27.5,234.6845474,1320,6.6,11.616,0.4516,7.0523,82.139,330,-80,116.1597,451.6070251,2350.753906,41.06952344,910.1,Not Sustainable
54,2010,0,N4,P5,Shallow - Black,BLACK,23.42652,90.7757,27.1,28.95458702,878,6.7,5.9505,0.3439,7.2595,85.419,219.5,-60,59.50547,343.9359,2419.819,42.70949,847.5,Not Sustainable
56,2011,0,N4,P5,Shallow - OffWhite,OFF-WHITE,23.42652,90.7757,27.9,44.19384334,1281,6.66,5.6,0.2918,4.9161,69.3524,320.25,-68,56,291.8084,1638.696333,34.676215,617.2,Not Sustainable
58,2011,0,N4,P6,Shallow - White,WHITE,23.42652,90.7757,26.6,65.52880219,851,7.08,15.8576,0.515,6.0327,35.736,212.75,16,158.5758,514.9932,2010.904,17.86799,874.57,Not Sustainable
60,2009,0,N5,P1,Shallow - White,WHITE,23.36834,90.76748,26.2,65.52880219,420,6.9,150.9604,0.1554,5.4637,35.5977,105,-20,1509.604,155.3607333,1821.224333,17.79885156,572.63,Not Sustainable
62,2010,0,N5,P1,Intermediate,WHITE,23.36834,90.76748,26.7,103.6585366,381,6.8,149.3703,0.1299,5.861,35.0035,95.25,-40,1493.703,129.9296,1953.681333,17.50175,586.11,Not Sustainable
64,2009,0,N5,P2,Deep,WHITE,23.36834,90.76748,26.1,225.5409936,2010,7.1,238.976,0.2274,3.9237,31.3391,502.5,20,2389.76,227.368927,1307.890381,15.66954883,506.57,Not Sustainable
66,2010,0,N5,P2,Shallow - Black,BLACK,23.36834,90.76748,26.1,15.23925632,1493,7,225.6324,0.0513,3.4816,29.438,373.25,0,2256.324,51.27828,1160.523667,14.71902,339.46,Not Sustainable
68,2009,0,N5,P3,Deep,WHITE,23.36834,90.76748,26.4,225.5409936,1780,6.9,17.0856,0.7302,1.0723,22.9583,445,-20,170.85576,730.1705933,357.4304199,11.47916504,626.83,Not Sustainable
70,2010,0,N5,P3,Shallow - Black,BLACK,23.36834,90.76748,26.4,15.23925632,1425,7,17.8771,0.6072,2.4872,19.6315,356.25,0,178.7711,607.2255,829.0693333,9.815765,652.32,Not Sustainable
72,2011,0,N5,P3,Shallow - Black,BLACK,23.36834,90.76748,26.3,25.90673575,1669,7.27,11.254,0.609,1.2241,19.7643,417.25,54,112.5398,609.0255,408.0273333,9.882145,550.3,Not Sustainable
75,2010,0,N5,P4,Shallow - Black,BLACK,23.36834,90.76748,26.6,15.23925632,1514,7.1,264.5963,0.1315,2.4688,32.0544,378.5,20,2645.963,131.4715,822.9173333,16.02719,318.7,Not Sustainable
77,2011,0,N5,P4,Deep,OFF-WHITE,23.36834,90.76748,26.4,234.6845474,1629,7.16,334.2672,0.0763,1.449,27.8398,407.25,32,3342.672,76.33195,483.0043333,13.919885,199.86,Poor
79,2009,0,N5,P5,Deep,WHITE,23.36834,90.76748,27,225.5409936,1840,6.4,8.4349,0.21,4.8457,96.3647,460,-120,84.34923,209.9523,1615.232667,48.18235156,550.86,Not Sustainable
81,2010,0,N5,P5,Shallow - Black,BLACK,23.36834,90.76748,26.2,25.90673575,1668,6.7,5.6,0.2017,5.421,86.0871,417,-60,56,201.6813,1806.983333,43.043555,592.22,Not Sustainable
83,2011,0,N5,P5,Deep,OFF-WHITE,23.36834,90.76748,26.8,234.6845474,1678,6.82,5.6,0.1996,3.9242,70.5751,419.5,-36,56,199.5718,1308.072,35.287535,468.39,Not Sustainable
85,2010,0,N5,P6,Shallow - Black,BLACK,23.36834,90.76748,26.4,25.90673575,914,6.9,7.33,0.26,4.09,59.5848,228.5,-20,73.3,260,1363.333333,29.792375,526.72,Not Sustainable
87,2011,0,N5,P6,Deep,OFF-WHITE,23.36834,90.76748,26.7,234.6845474,989,6.8,5.6,0.245,3.78,38.45,247.25,-40,56,245,1260,19.225,489.97,Not Sustainable
89,2009,0,N6,P1,Intermediate,WHITE,23.39517,90.66776,27.7,102.4390244,260,7,81.3325,0.7027,1.5749,39.1231,65,0,813.3251,702.7015991,524.9718424,19.56155273,652.6,Not Sustainable
91,2010,0,N6,P1,Deep,WHITE,23.39517,90.66776,27.4,224.695122,295,7,80.9438,0.5539,2.1845,48.0626,73.75,0,809.438,553.8836,728.1563333,24.03132,592.84,Not Sustainable
93,2011,0,N6,P1,Shallow - Black,BLACK,23.39517,90.66776,27.7,27.43066138,276,6.95,85.0207,0.6535,1.646,51.1716,69,-10,850.2068,653.4609,548.6726667,25.58579,622.32,Not Sustainable
95,2009,0,N6,P2,Shallow - Black,BLACK,23.39517,90.66776,27.7,18.28710759,970,7.1,739.7974,0.979,7.6926,100.7694,242.5,20,7397.974,978.9501953,2564.216146,50.38467578,1405.63,Not Sustainable
97,2010,0,N6,P2,Intermediate,BLACK,23.39517,90.66776,27.6,105.1829268,715,7,702.1916,0.7291,8.5371,103.569,178.75,0,7021.91599,729.0911,2845.694333,51.7845,1287.7,Not Sustainable
